rank,title,brand,search_term,rating,no_of_reviews,year,month,day,hour,minute
88,"Kashi GoLean Crunch! Cereal, 21.3 oz",Kashi,cereal,4.5,0,2015,12,7,20,32
89,"Raisin Bran Cereal, 25 oz",Other,cereal,5,25,2015,12,7,20,32
90,"Post Selects Banana Nut Crunch Cereal, 15.5 oz",Post,cereal,4.5,21,2015,12,7,20,32
91,"Kashi GoLean Crisp! Cinnamon Crumble Cereal, 14 oz",Kashi,cereal,4.5,0,2015,12,7,20,32
92,"Cheerios Protein Oats & Honey Cereal, 19 oz",Cheerios,cereal,5,8,2015,12,7,20,32
93,"Rice Chex Cereal, 18 oz",Other,cereal,5,1,2015,12,7,20,32
94,"Honey Nut Chex Cereal, 12.5 oz",Other,cereal,4.5,19,2015,12,7,20,32
95,"Kellogg's Smart Start Antioxidants Original Cereal, 17.5 Oz",Kellogg's,cereal,5,11,2015,12,7,20,32
96,"Post Good Morenings Waffle Crunch Cereal, 21 oz",Post,cereal,5,19,2015,12,7,20,32
97,"Quaker Real Medleys Cherry Almond Pecan Multigrain Cereal, 17 oz",Other,cereal,4,59,2015,12,7,20,32
98,"Rice Chex Oven Toasted Rice Cereal, 12 oz",Other,cereal,4.5,12,2015,12,7,20,32
99,"Kellogg's Rice Krispies Cereal, 18 oz",Kellogg's,cereal,5,32,2015,12,7,20,32
100,"Cap'n Crunch Peanut Butter Crunch Cereal, 20.6 oz",Other,cereal,4,2,2015,12,7,20,32
101,"Cream Of Wheat Original Instant Hot Cereal, 12 Ct/12 Oz",Other,cereal,5,11,2015,12,7,20,32
102,"Lucky Charms Cereal, 20.5 oz",Other,cereal,5,110,2015,12,7,20,32
103,"Oatmeal Crisp Raisin Cereal, 18 oz",Other,cereal,4.5,16,2015,12,7,20,32
104,"Kashi Autumn Wheat Cereal, 16.3 oz",Kashi,cereal,4,8,2015,12,7,20,32
105,"Kellogg's Rice Krispies Treats Cereal, 11.6 oz",Kellogg's,cereal,4.5,56,2015,12,7,20,32
106,"Cascadian Farm Organic Berry Vanilla Puff Cereal, 10.25 oz",Other,cereal,4.5,0,2015,12,7,20,32
107,"Cinnamon Chex Cereal, 12.1 oz",Other,cereal,4.5,10,2015,12,7,20,32
108,"Frosted Cheerios Gluten Free Cereal, 12 oz",Cheerios,cereal,5,11,2015,12,7,20,32
109,"Kellogg's Special K Protein Cinnamon Brown Sugar Crunch Cereal, 10.8 oz",Kellogg's,cereal,5,17,2015,12,7,20,32
110,"Kellogg's Special K Protein Cereal, 16.5 oz",Kellogg's,cereal,5,35,2015,12,7,20,32
111,"Fiber One Nutty Clusters & Almonds Cereal, 16.1 oz",Other,cereal,5,15,2015,12,7,20,32
112,"Cascadian Farm Organic Dark Chocolate Almond Granola Cereal, 13.5 oz",Other,cereal,3.5,3,2015,12,7,20,32
113,"Cream Of Wheat Hot Cereal Maple Brown Sugar Instant 10 Ct, 12.5 oz",Other,cereal,4.5,19,2015,12,7,20,32
114,"Cascadian Farm Organic Honey Nut O's Cereal, 9.5 oz",Other,cereal,4.5,0,2015,12,7,20,32
115,"Corn Chex Cereal, 12 oz",Other,cereal,5,9,2015,12,7,20,32
116,"Nature's Path Heritage Heirloom Whole Grains Organic Gluten-Free Cereal, 32 oz",Other,cereal,5,4,2015,12,7,20,32
117,"Kashi Island Vanilla Cereal, 16.3 oz",Kashi,cereal,5,11,2015,12,7,20,32
118,"Kellogg's All-Bran Branbuds Cereal, 17.7 Oz",Kellogg's,cereal,4.5,24,2015,12,7,20,32
119,Kashi GoLean Vanilla Hot Cereal,Kashi,cereal,4.5,0,2015,12,7,20,32
120,Kashi Cinnamon Harvest Cereal 16.3oz,Kashi,cereal,5,18,2015,12,7,20,32
121,"Quisp Crunchy Corn Cereal, 8.5 oz, (Pack of 12)",Other,cereal,5,91,2015,12,7,20,32
122,"Kellogg's All-Bran Original Cereal, 18.3 Oz",Kellogg's,cereal,4.5,49,2015,12,7,20,32
123,"Kashi GoLean Cereal, 13.1 oz",Kashi,cereal,5,16,2015,12,7,20,32
124,"Kellogg's Marvel Avengers Age of Ultron Cereal, 8.4 oz",Kellogg's,cereal,3,1,2015,12,7,20,32
125,"Cascadian Farm Organic Fruitful O's Cereal, 10.2 oz",Other,cereal,3,0,2015,12,7,20,32
126,"Quaker Real Medleys Summer Berry Granola Cereal, 10 oz",Other,cereal,3,0,2015,12,7,20,32
127,"Nestle Nestum Wheat & Honey Cereal, 10.5 oz",Other,cereal,4.5,6,2015,12,7,20,32
128,"Malt-O-Meal Cinnamon Toasters Cereal, 33 Oz",Other,cereal,5,36,2015,12,7,20,32
129,"Fruity Pebbles Cereal, 40 oz",Other,cereal,4.5,32,2015,12,7,20,32
130,"Kellogg's Cinnabon Cereal, 9 oz",Kellogg's,cereal,5,22,2015,12,7,20,32
131,"Great Grains Cranberry Almond Crunch Cereal, 14 oz",Other,cereal,4.5,21,2015,12,7,20,32
132,"Great Value Honey Nut Spins Cereal, 17 Oz",Other,cereal,5,10,2015,12,7,20,32
133,"Great Value Fruit Spins Cereal, 17 oz",Other,cereal,4.5,23,2015,12,7,20,32
134,"Cascadian Farm Organic Purely O's Cereal, 8.6 oz",Other,cereal,4.5,0,2015,12,7,20,32
135,"Kellogg's Crispix Cereal, 12 oz",Kellogg's,cereal,5,24,2015,12,7,20,32
136,"Fiber One Protein Maple Brown Sugar Cereal, 16.2 oz",Other,cereal,4.5,18,2015,12,7,20,32
137,"Kellogg's Special K Protein Cereal, 12.5 oz",Kellogg's,cereal,5,112,2015,12,7,20,32
138,"Cap'n Crunch's Crunch Berries Sweetened Corn & Oat Cereal, 28 oz",Other,cereal,5,10,2015,12,7,20,32
139,"Post Golden Crisp Cereal, 14.75 oz",Post,cereal,5,6,2015,12,7,20,32
140,"Kellogg's Special K Red Berries Cereal, 14.7 oz",Kellogg's,cereal,4.5,86,2015,12,7,20,32
141,"Cheerios Gluten Free Cereal, 12 oz",Cheerios,cereal,5,40,2015,12,7,20,32
142,"Golden Grahams Cereal, 23.5 oz",Other,cereal,5,34,2015,12,7,20,32
143,"Post Grape-Nuts the Original Cereal, 29 oz",Post,cereal,4.5,14,2015,12,7,20,32
144,"Malt-O-Meal Honey Nut Scooters Cereal, 39 Oz",Other,cereal,4.5,41,2015,12,7,20,32
145,"Post Shredded Wheat Honey Nut Spoon Size Cereal, 20 oz",Post,cereal,5,11,2015,12,7,20,32
146,"Great Value Berry Crunch Cereal, 21 Oz",Other,cereal,4,10,2015,12,7,20,32
147,"Quaker Oatmeal Squares Cinnamon Cereal, 21 oz",Other,cereal,3.5,15,2015,12,7,20,32
148,"Honey Nut Cheerios Medley Crunch Cereal, 22.5 oz",Cheerios,cereal,4.5,40,2015,12,7,20,32
149,"Reese's Peanut Butter Corn Puffs Cereal, 22.9 oz",Other,cereal,4.5,11,2015,12,7,20,32
150,"French Toast Crunch Cereal, 11.6 oz",Other,cereal,4.5,33,2015,12,7,20,32
151,"Malt-O-Meal Honey & Oat Blenders w/Almonds Flakes Cereal, 36 Oz",Other,cereal,5,37,2015,12,7,20,32
152,"Honey Bunches Of Oats Cereal With Almonds, 18 oz",Other,cereal,5,15,2015,12,7,20,32
153,"Honey Bunches Of Oats Honey Roasted Cereal, 18 oz",Other,cereal,5,13,2015,12,7,20,32
154,"Cheerios Fruity Cereal, 12 oz",Cheerios,cereal,4.5,29,2015,12,7,20,32
155,"Tootie Fruities Cereal, 33 oz",Other,cereal,5,16,2015,12,7,20,32
156,"Kellogg's Special K Red Berries Cereal, 11.2 oz",Kellogg's,cereal,5,253,2015,12,7,20,32
157,"Cheerios Protein Oats ; Honey Cereal, 14.1 oz",Cheerios,cereal,4.5,25,2015,12,7,20,32
158,"Quaker Cap'n Crunch Peanut Butter Crunch Cereal, 17.1 oz",Other,cereal,4.5,9,2015,12,7,20,32
159,"Fiber One Protein Cranberry Almond Cereal, 15.8 oz",Other,cereal,4.5,11,2015,12,7,20,32
160,"Kellogg's Special K Fruit & Yogurt Cereal, 16.6 oz",Kellogg's,cereal,5,13,2015,12,7,20,32
161,"Chocolate Cheerios Cereal, 22 oz",Cheerios,cereal,4.5,30,2015,12,7,20,32
162,"Honey Nut Cheerios Gluten Free Cereal, 21.6 oz",Cheerios,cereal,5,186,2015,12,7,20,32
163,"Banana Nut Cheerios Cereal, 10.9 oz",Cheerios,cereal,4.5,33,2015,12,7,20,32
164,"Sunbelt Banana Nut w/Bananas & Almonds Granola Cereal, 16 Oz",Other,cereal,4,14,2015,12,7,20,32
165,"Lucky Charms Cereal, 11.5 oz",Other,cereal,5,110,2015,12,7,20,32
166,"Kellogg's Corn Pops Cereal, 21.4 oz",Kellogg's,cereal,4.5,31,2015,12,7,20,32
167,"Total Raisin Bran Cereal, 18.25 oz",Other,cereal,4.5,12,2015,12,7,20,32
168,"Berry Colossal Crunch Cereal, 38.5 oz",Other,cereal,4.5,20,2015,12,7,20,32
169,"Honeycomb Cereal, 33 oz",Other,cereal,4.5,11,2015,12,7,20,32
170,"Nature's Path Flaxplus Organic Pumpkin Granola Cereal, 11.5 oz",Other,cereal,5,52,2015,12,7,20,32
171,"Grape-Nuts Flakes Cereal, 18 oz",Other,cereal,4.5,23,2015,12,7,20,32
172,"Kellogg's Special K Touch of Honey Granola Cereal, 11.3 oz",Kellogg's,cereal,4.5,17,2015,12,7,20,32
173,"Great Value Crisp Rice Cereal, 12 oz",Other,cereal,4.5,0,2015,12,7,20,32
174,"Malt-O-Meal Fruity Dyno-Bites Cereal, 40 oz",Other,cereal,4.5,11,2015,12,7,20,32
175,"Kellogg's Special K Cinnamon Pecan Cereal, 16 oz",Kellogg's,cereal,5,50,2015,12,7,20,32
176,"Kellogg's Krave Double Chocolate Cereal, 11 oz",Kellogg's,cereal,4.5,13,2015,12,7,20,32
177,"Cheerios Chocolate Cereal, 11.25 oz",Cheerios,cereal,4.5,30,2015,12,7,20,32
178,"Kashi GoLean Crisp Toasted Berry Crumble Cereal, 14 oz",Kashi,cereal,4.5,12,2015,12,7,20,32
179,"Malt-O-Meal Golden Puffs Cereal, 39.5 oz",Other,cereal,5,10,2015,12,7,20,32
180,"Vanilla Chex Cereal, 12.1 oz",Other,cereal,4,12,2015,12,7,20,32
181,"Cascadian Farm Organic Cinnamon Crunch Cereal, 9.2 oz",Other,cereal,4,9,2015,12,7,20,32
182,"Post Cocoa Pebbles Cereal, 20.5 oz",Post,cereal,4,7,2015,12,7,20,32
183,"Malt-O-Meal Raisin Bran Cereal, 32.5 Oz",Other,cereal,4.5,31,2015,12,7,20,32
184,"Life Maple & Brown Sugar Cereal, 18 oz",Other,cereal,4.5,23,2015,12,7,20,32
185,"Kellogg's Special K Chocolate Almond Cereal, 12.7 oz",Kellogg's,cereal,4.5,103,2015,12,7,20,32
186,"Kashi Heart to Heart Honey Toasted Oat Cereal, 12 oz",Kashi,cereal,5,16,2015,12,7,20,32
187,"Kellogg's Raisin Bran Cereal, 18.7 oz",Kellogg's,cereal,4.5,69,2015,12,7,20,32
188,"Nutritious Living Hi-Lo Maple Pecan Cereal, 10 oz (Pack of 6)",Other,cereal,4.5,16,2015,12,7,20,32
189,"Nature Valley Cranberry Almond Protein Crunchy Granola, 11 oz",Other,cereal,5,3,2015,12,7,20,32
190,"Post Great Grains Protein Blend Honey, Oats & Seeds Whole Grain Cereal, 13.5 oz",Post,cereal,5,10,2015,12,7,20,32
191,"Cap'n Crunch's Sprinkled Donut Crunch Cereal, 17.3 oz",Other,cereal,4.5,7,2015,12,7,20,32
192,"Multi Grain Cheerios Dark Chocolate Crunch Cereal, 12.1 oz",Cheerios,cereal,5,17,2015,12,7,20,32
193,"Kashi GoLean Crunch! Cereal, 13.8 oz",Kashi,cereal,5,21,2015,12,7,20,32
194,"Malt-O-Meal Berry Colossal Crunch with Marshmallows Cereal, 32 oz",Other,cereal,5,12,2015,12,7,20,32
195,"Apple Cinnamon Cheerios Gluten Free Cereal, 12.9 oz",Cheerios,cereal,4.5,13,2015,12,7,20,32
196,"Kellogg's Special K Fruit & Yogurt Cereal, 12.5 oz",Kellogg's,cereal,5,80,2015,12,7,20,32
197,"Post Honey Bunches Of Oats Cereal With Real Strawberries, 13 oz",Post,cereal,5,3,2015,12,7,20,32
198,"Kellogg's Special K Chocolatey Delight Cereal, 13.1 oz",Kellogg's,cereal,5,91,2015,12,7,20,32
199,"Post Shredded Wheat Original Spoon Size Cereal, 16.4 oz",Post,cereal,5,0,2015,12,7,20,32
200,"Kix Cereal, 18 oz",Other,cereal,4.5,12,2015,12,7,20,32
201,"Kellogg's Raisin Bran Cereal with Cranberries, 13.5 oz",Kellogg's,cereal,4.5,17,2015,12,7,20,32
202,"Multi Grain Cheerios Peanut Butter Cereal, 18.8 oz",Cheerios,cereal,5,14,2015,12,7,20,32
203,"Post Honey Bunches Of Oats Cereal With Almonds, 14.5 oz",Post,cereal,5,15,2015,12,7,20,32
204,"Quaker Oats, Honey & Almonds Natural Granola, 28 oz",Other,cereal,4.5,89,2015,12,7,20,32
205,"Honey Bunches Of Oats Cereal With Cinnamon Bunches, 18 oz",Other,cereal,4.5,9,2015,12,7,20,32
206,"Malt-O-Meal Strawberry Cream Mini Spooners Sweetened Whole Grain Wheat Cereal, 36 oz",Other,cereal,5,19,2015,12,7,20,32
207,"Quaker Cap'n Crunch Crunch Berries Cereal, 18.7 oz",Other,cereal,4.5,24,2015,12,7,20,32
208,"Chocolate Lucky Charms Cereal, 21.2 oz",Other,cereal,3.5,6,2015,12,7,20,32
209,"Arrowhead Mills Puffed Rice Cereal, 6 oz, (Pack of 12)",Other,cereal,5,5,2015,12,7,20,32
210,"Cheerios Multi Grain Peanut Butter Cereal, 11.3 oz",Cheerios,cereal,5,14,2015,12,7,20,32
211,"Van's Cinnamon Heaven Gluten Free Cereal, 11 oz",Other,cereal,4.5,9,2015,12,7,20,32
212,"General Mills Cinnamon Toast Crunch Cereal Bars, 0.85 oz, 6 count",Other,cereal,4.5,5,2015,12,7,20,32
213,"General Mills Cinnamon Toast Crunch Cereal, 12.2 oz",Other,cereal,5,60,2015,12,7,20,32
214,"Post Cocoa Pebbles Cereal, 40 oz Bag",Post,cereal,5,16,2015,12,7,20,32
215,"Cerelac Wheat With Milk 12 Month & Older Cereal, 14.1 oz",Other,cereal,5,12,2015,12,7,20,32
216,"Lucky Charms Frosted Toasted Oat Cereal With Marshmallows Cereal, 1 lb",Other,cereal,5,110,2015,12,7,20,32
217,"Post Honey Bunches of Oats Cereal With Vanilla Bunches, 18 oz",Post,cereal,5,8,2015,12,7,20,32
218,"Kellogg's Krave S'Mores Cereal, 11 oz",Kellogg's,cereal,4.5,13,2015,12,7,20,32
219,"Kashi 7 Whole Grain Nuggets Cereal, 20 oz (Pack of 12)",Kashi,cereal,5,1,2015,12,7,20,32
220,"Quaker Life Original Multigrain Cereal, 21.6 oz",Other,cereal,5,0,2015,12,7,20,32
221,"Kellogg's Disney Frozen Cereal, 8.4 oz",Kellogg's,cereal,4,10,2015,12,7,20,32
222,"Cap'n Crunch's Crunch Berries Cereal, 13 oz",Other,cereal,5,21,2015,12,7,20,32
223,"Kellogg's Frosted Flakes Cereal, 15 oz",Kellogg's,cereal,4.5,117,2015,12,7,20,32
224,"Multi Grain Cheerios Gluten Free Cereal, 9 oz",Cheerios,cereal,5,18,2015,12,7,20,32
225,"Nature Valley Oats 'n Dark Chocolate Protein Crunchy Granola, 11 oz",Other,cereal,5,12,2015,12,7,20,32
226,"Post Honey-Comb Cereal, 12.5 oz",Post,cereal,5,9,2015,12,7,20,32
227,"Chocolate Toast Crunch Cereal, 12.7 oz",Other,cereal,3.5,11,2015,12,7,20,32
228,"Malt-O-Meal Honey & Oat Blenders Sweetened Corn & Wheat Flakes Cereal, 36 Oz",Other,cereal,4.5,8,2015,12,7,20,32
229,"Kellogg's Cocoa Krispies Cereal, 15.5 oz",Kellogg's,cereal,4.5,11,2015,12,7,20,32
230,"Post Fruity Pebbles Cereal, 11 oz",Post,cereal,5,7,2015,12,7,20,32
231,"Kashi Organic Promise Sweet Potato Sunshine Cereal, 10.5 oz",Kashi,cereal,5,2,2015,12,7,20,32
232,"Kellogg's Frosted Krispies Toasted Rice Cereal, 12.5 Oz",Kellogg's,cereal,4.5,48,2015,12,7,20,32
233,"General Mills Cookie Crisp Chocolate Chip Cookies And Milk Cereal, 11.25 oz",Other,cereal,4.5,18,2015,12,7,20,32
234,"Kellogg's Frosted Mini-Wheats Blueberry Whole Grain Cereal, 21 oz",Kellogg's,cereal,4.5,24,2015,12,7,20,32
235,"Cap'n Crunch's Oops! All Berries Cereal, 21.3 oz",Other,cereal,4.5,0,2015,12,7,20,32
236,"Kellogg's Honey Smacks Cereal, 15.3 oz",Kellogg's,cereal,4.5,14,2015,12,7,20,32
237,"Kashi GoLean Crunch! Honey Almond Flax Cereal, 14 oz",Kashi,cereal,4,17,2015,12,7,20,32
238,"Malt-O-Meal Chocolate Marshmallow Mateys Cereal, 33.5 oz",Other,cereal,4.5,10,2015,12,7,20,32
239,"Honey Bunches of Oats Honey Roasted Cereal, 14.5 oz",Other,cereal,5,6,2015,12,7,20,32
240,"Golden Grahams Honey Graham Cereal, 12 oz",Other,cereal,5,34,2015,12,7,20,32
241,"Post Grape-Nuts the Original Cereal, 20.5 oz",Post,cereal,4.5,7,2015,12,7,20,32
242,"Kellogg's Rocky Mountain Chocolate Factory Chocolatey Almond Cereal, 11.5 oz",Kellogg's,cereal,4.5,16,2015,12,7,20,32
243,"Quaker Cap'n Crunch Peanut Butter Crunch Cereal, 12.5 oz",Other,cereal,5,8,2015,12,7,20,32
244,"Malt-O-Meal Apple Zings Cereal, 25.5 oz",Other,cereal,4.5,11,2015,12,7,20,32
245,"Kellogg's Frosted Mini-Wheats Strawberry Whole Grain Cereal, 21 oz",Kellogg's,cereal,4.5,12,2015,12,7,20,32
246,"Quaker Old Fashioned Oatmeal, 42 oz",Other,cereal,4.5,298,2015,12,7,20,32
247,"Malt-O-Meal Coco Roos Cereal, 38 oz",Other,cereal,4,9,2015,12,7,20,32
248,"Kix Berry Berry Corn Cereal, 12 oz",Other,cereal,5,11,2015,12,7,20,32
249,"Honey Kix Cereal, 12 oz",Other,cereal,3.5,5,2015,12,7,20,32
